Step Nr.;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty[a.u.];UsedTime[s]
78.0;39.0;0.002316894;81.290722332;-23.507799491;-23.505703258;42.077627911
79.0;39.5;0.00237891;83.466601122;-23.507880416;-23.505698828;42.380885101
80.0;40.0;0.002476447;86.888810687;-23.508018848;-23.505696621;44.316065262
81.0;40.5;0.002603581;91.349418593;-23.508159708;-23.505695671;36.446616259
82.0;41.0;0.002702025;94.803429503;-23.508235348;-23.505694445;36.844676571
83.0;41.5;0.002636482;92.503787496;-23.50818321;-23.505691238;38.011203154
84.0;42.0;0.002448762;85.917425365;-23.507980996;-23.505684887;37.421744494
85.0;42.5;0.002099485;73.66267011;-23.507657131;-23.505675385;36.436982824
86.0;43.0;0.001749967;61.399461009;-23.507306349;-23.505664981;42.41290094
87.0;43.5;0.001487661;52.196168112;-23.507039964;-23.505656905;43.006888505
88.0;44.0;0.001432889;50.274460138;-23.506933202;-23.505653712;41.930780605
89.0;44.5;0.001464405;51.380224841;-23.507001435;-23.505655806;42.87751522
90.0;45.0;0.001691102;59.33412925;-23.507184285;-23.50566077;43.674175905
91.0;45.5;0.001898001;66.593399715;-23.507381822;-23.505664918;37.558454788
92.0;46.0;0.002009529;70.506473807;-23.507508258;-23.505665619;37.856665023
93.0;46.5;0.002049872;71.921968859;-23.507536734;-23.505662681;36.949566469
94.0;47.0;0.002008974;70.48698947;-23.50749688;-23.505657742;36.263308298
95.0;47.5;0.002000936;70.204982684;-23.507454478;-23.505652979;41.841168716
96.0;48.0;0.002016474;70.750161836;-23.507475194;-23.505650222;37.433679542
97.0;48.5;0.002151723;75.495525332;-23.507594403;-23.505650384;42.799266258
98.0;49.0;0.002381268;83.549351186;-23.50780361;-23.505653186;43.20253319
99.0;49.5;0.002622174;92.001782401;-23.508050214;-23.505657708;37.879109523
100.0;50.0;0.002842949;99.7479262;-23.508258094;-23.505662435;42.307899306
101.0;50.5;0.002919246;102.424892221;-23.508351072;-23.505665628;36.785606718
102.0;51.0;0.002865795;100.549476044;-23.50828387;-23.50566604;37.164376088
103.0;51.5;0.002689242;94.354935727;-23.508060389;-23.505663172;36.638973368
104.0;52.0;0.0023978;84.129387632;-23.507739803;-23.50565782;42.295225584
105.0;52.5;0.002057806;72.200330629;-23.507426243;-23.505652884;36.844059709
106.0;53.0;0.001851683;64.968286478;-23.5072176;-23.505651385;42.664051248
107.0;53.5;0.001815591;63.701943865;-23.507162241;-23.50565481;42.128832106
108.0;54.0;0.001886675;66.196031482;-23.507233373;-23.505661889;36.32115492
109.0;54.5;0.001964719;68.934289445;-23.507348041;-23.505669099;35.907920095
110.0;55.0;0.001985337;69.657686602;-23.507419716;-23.505673201;42.103120371
111.0;55.5;0.002021312;70.919889266;-23.507407543;-23.505673014;37.313502867
112.0;56.0;0.001944451;68.223137066;-23.507327679;-23.505669448;37.023418989
113.0;56.5;0.001894503;66.470660524;-23.507241917;-23.505664812;36.40318505
114.0;57.0;0.001887281;66.217276688;-23.507222792;-23.505661503;36.877948346
115.0;57.5;0.001990033;69.822447006;-23.507315828;-23.505660841;36.526218789
116.0;58.0;0.002198383;77.132615959;-23.507518798;-23.505662728;43.042583008
117.0;58.5;0.002457989;86.241168671;-23.50778347;-23.505666043;36.228272923
118.0;59.0;0.002669685;93.668775222;-23.508033133;-23.505669028;36.782919006
119.0;59.5;0.002786656;97.772801872;-23.50819109;-23.505670066;37.035415845
120.0;60.0;0.002849484;99.977187074;-23.508204564;-23.505668035;44.569540559
121.0;60.5;0.002736411;96.009927878;-23.508062208;-23.50566261;37.237449029
122.0;61.0;0.002466839;86.551702789;-23.507805719;-23.505654311;36.914833024
123.0;61.5;0.002197036;77.08537278;-23.507520428;-23.505645109;36.317666297
124.0;62.0;0.0019943;69.972166701;-23.507294525;-23.505637625;36.122288346
125.0;62.5;0.001896104;66.526851992;-23.507189124;-23.505633917;41.649125196
126.0;63.0;0.001914115;67.158760047;-23.507205197;-23.505634066;36.659301475
127.0;63.5;0.001992635;69.913735293;-23.507284856;-23.505635823;36.695250669
128.0;64.0;0.002044176;71.72210254;-23.507345871;-23.505635962;37.079374385
129.0;64.5;0.001978208;69.407545453;-23.507327944;-23.505632357;36.592479019
130.0;65.0;0.001904917;66.836043646;-23.507228762;-23.505625112;44.649429697
131.0;65.5;0.001807822;63.429379686;-23.507094761;-23.505615858;36.65344067
132.0;66.0;0.001700222;59.654123903;-23.507002625;-23.505607173;36.2614574
133.0;66.5;0.001705692;59.846022694;-23.507020362;-23.505601016;36.36651467
134.0;67.0;0.001864669;65.423913799;-23.507174517;-23.505597996;36.456359231
135.0;67.5;0.002106189;73.897902728;-23.507438468;-23.505597577;36.857274052
136.0;68.0;0.002413326;84.674112577;-23.507749769;-23.505598252;36.646727802
137.0;68.5;0.002709653;95.07107285;-23.508024474;-23.505598326;36.21852826
138.0;69.0;0.00290486;101.920110754;-23.508186485;-23.505596303;36.634361329
139.0;69.5;0.002896762;101.636000721;-23.508192407;-23.505591304;36.375067724
140.0;70.0;0.002751314;96.532797739;-23.508049752;-23.505583485;45.608449687
141.0;70.5;0.002522111;88.490955279;-23.5078157;-23.505574005;36.681899511
142.0;71.0;0.002325471;81.591657161;-23.507572124;-23.505565097;36.274967766
143.0;71.5;0.002193234;76.951976346;-23.507396064;-23.505559365;41.592511213
144.0;72.0;0.002150504;75.452742447;-23.50731835;-23.505558082;36.867826922
